E-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Ensemble/Song_name,Instruments_in_Ensemble,See_I-ids,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
383,EGYPT,15291,,Merry-making band,2 Bagpipes (zummora); 2 Bagpipes (mizmar); 1 Viol (urghul); 1 Viol (salamiya); 1 Drum (tabl),1052; 1058; 1057; 1055; 1056,,"Ayrout, H. H. (1945). The Fellaheen. Cairo: R. Schindler.",,,@Ayrout1945Fellaheen,
384,EGYPT,15291,,Abu-el-leel,1 Flute (nay); 1 Tambourine; 1 Castanet,1059; 1053; 1060,,"Ayrout, H. H. (1945). The Fellaheen. Cairo: R. Schindler.",,,@Ayrout1945Fellaheen,
121,CAYAPA,13300,,,3 Rattles; 2 Drums,299; 302,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 329",,@Barrett1925Cayapa,
801,CAYAPA,13300,,,4 Drums; 1 Marimba; 3 Flutes,302; 298; 300,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 389",,@Barrett1925Cayapa,E-id changed from 121 by Stella Silbert because it was a duplicate
96,TURKMEN,27743,,,1 Lute (dutar),241,,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic,
97,TURKMEN,27743,,,2 Flutes (tuyduk),243,,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic,
98,TURKMEN,27743,,,1 Rebab (ayjak),242,,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic,
380,TIBET,27028,,,1 Large drum; 1 Skull drum; 1 Small cymbals; 1 Bell,1023; 1019; 1032; 1031,Large drum uses curved stick,"Bell, C. (1928). The People of Tibet. Oxford: Clarendon Press.",,,@Bell1928ThePeopleofTibet,
255,TARAHUMARA,26599,,,1 Scraper,724,,"Bennett, W. C., & Zingg, R. M. (1935). The Tarahumara, an Indian tribe of northern Mexico. Chicago: Univ. Chicago Press.","Bennett & Zingg, 294",,@BennettZingg1935Tarahumara,
256,TARAHUMARA,26599,,,3 Flutes; 2 Drums,726; 727,,"Bennett, W. C., & Zingg, R. M. (1935). The Tarahumara, an Indian tribe of northern Mexico. Chicago: Univ. Chicago Press.",,,@BennettZingg1935Tarahumara,
257,TARAHUMARA,26599,,,1 Rattle,728,,"Bennett, W. C., & Zingg, R. M. (1935). The Tarahumara, an Indian tribe of northern Mexico. Chicago: Univ. Chicago Press.",,,@BennettZingg1935Tarahumara,
258,TARAHUMARA,26599,,,5 Violins; 5 Guitars,729; 730,,"Bennett, W. C., & Zingg, R. M. (1935). The Tarahumara, an Indian tribe of northern Mexico. Chicago: Univ. Chicago Press.","Bennett & Zingg, 299",,@BennettZingg1935Tarahumara,
763,N INDIA,18173,Source refers specifically to Kashmir,,3 Box lutes (sarangi); 2 Lutes (rebab); 2 Pots; 1 Drum (tabla); 1 Flute,1651; 1639; 1656; 1653; 1646,Typical Kashmir orchestra,"Bhavnain, E. (1962). [Liner notes]. Folk Music of Kashmir. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-kashmir/world/album/smithsonian",,2C44,@FW1962FolkMusicOfKashmir,
400,BUKA,30041,,,1 Musical bow,1091,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
401,BUKA,30041,,,1 Conch shell,1086,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
406,BUKA,30041,,,1 Slit gong,1089,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
407,BUKA,30041,,,1 Jew's harp,1092,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
409,BUKA,30041,,,4 Panpipes; 1 Horn (mabu),1085; 1095,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
410,BUKA,30041,,,2 Horns (mabu),1095,,"Blackwood, B. (1935). Both Sides of the Buka Passage: An ethnographic study of Social, Sexual and Economic Questions in the Northwestern Solomon Islands. Oxford: Clarendon Press.",,,@Blackwood1935BukaPassage,
422,CHUKCHEE,"13850, 15148",,,1 Drum,1111,,"Bogoras-Tan, V.G. (1909). The Chukchee: Material Culture, Parts 1-3. Memoirs of the American Museum of Natural History, 2. New York: Museum of Natural History.",,,@Bogoras-Tan1909TheChukchee,
423,CHUKCHEE,"13850, 15148",,,1 Fiddle,1112,,"Bogoras-Tan, V.G. (1909). The Chukchee: Material Culture, Parts 1-3. Memoirs of the American Museum of Natural History, 2. New York: Museum of Natural History.",,,@Bogoras-Tan1909TheChukchee,
433,GOAJIRO,15973,,,Clarinet,1143,,"Bolinder, G. (1957). Indians on Horseback. London: Dennis Dobson.",,,@Bolinder1957IndiansonHorseback,Number of instruments = 0? Not sure what this means.
434,GOAJIRO,15973,,,Flute,1141,,"Bolinder, G. (1957). Indians on Horseback. London: Dennis Dobson.",,,@Bolinder1957IndiansonHorseback,Number of instruments = 0? Not sure what this means.
435,GOAJIRO,15973,,,Musical bow,1139,,"Bolinder, G. (1957). Indians on Horseback. London: Dennis Dobson.",,,@Bolinder1957IndiansonHorseback,Number of instruments = 0? Not sure what this means.
649,KOREA,"18932, 24564",,Palace Orchestra,1 Zither (achaing); 1 Zither (keum); 1 Zither (kayakeum); 1 Lute (tangpipa); 1 Fiddle (hekum); 1 Panpipe; 1 Flute (taikeum); 1 Flute (thung-so); 1 Shawm (taipyengso); 1 Ocarina; 1 Drum (tanggo); 1 Zither; 16 Bells (pyon chong); 16 Metallophones (pang hiang),701; 703; 702; 699; 697; 694; 696; 695; 685; 690; 680; 706; 708; 707,,"Boots, J. L. (1940). Korean Musical Instruments. Transactions of the Korean Branch of the Royal Asiatic Society, 30, 1-32.",,,@Boots1940KoreanMusicalInstruments,
650,KOREA,"18932, 24564",,,1 Flute (taikeum); 1 Drum (tanggo),696; 680,,"Boots, J. L. (1940). Korean Musical Instruments. Transactions of the Korean Branch of the Royal Asiatic Society, 30, 1-32.",,,@Boots1940KoreanMusicalInstruments,
651,KOREA,"18932, 24564",,,1 Drum (tanggo),680,,"Boots, J. L. (1940). Korean Musical Instruments. Transactions of the Korean Branch of the Royal Asiatic Society, 30, 1-32.",,,@Boots1940KoreanMusicalInstruments,
652,KOREA,"18932, 24564",,,1 Flute (taikeum),696,,"Boots, J. L. (1940). Korean Musical Instruments. Transactions of the Korean Branch of the Royal Asiatic Society, 30, 1-32.",,,@Boots1940KoreanMusicalInstruments,
653,KOREA,"18932, 24564",,,1 Flute; 1 Zither; 1 Drum,696; 701; 680,,"Boots, J. L. (1940). Korean Musical Instruments. Transactions of the Korean Branch of the Royal Asiatic Society, 30, 1-32.",,,@Boots1940KoreanMusicalInstruments,
167,CARIBOUESK,13190,,,1 Drum,303,,"Boulton, L. & Cowell, H. (1955). [Liner notes]. The Eskimos of Hudson Bay and Alaska. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/the-eskimos-of-hudson-bay-and-alaska/american-indian/music/album/smithsonian",,1B9,@FW1955EskimosHudsonBayAlaska,
168,CARIBOUESK,13190,,,5 Drums,438,,"Boulton, L. & Cowell, H. (1955). [Liner notes]. The Eskimos of Hudson Bay and Alaska. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/the-eskimos-of-hudson-bay-and-alaska/american-indian/music/album/smithsonian",,1B9,@FW1955EskimosHudsonBayAlaska,
219,SAMOA,24795,,,2 Percussion tubes; 2 Stamping tubes; 2 Percussion tubes,564; 562; 563,,"Buck, P. H. (1930). Samoan Material Culture. B. P. Bishop Museum Bulletin, 75.","Buck, 581",,@Buck1930SamoanMaterialCulture,
220,SAMOA,24795,,,1 Flute,554,,"Buck, P. H. (1930). Samoan Material Culture. B. P. Bishop Museum Bulletin, 75.","Buck, 580",,@Buck1930SamoanMaterialCulture,
221,SAMOA,24795,,,1 Percussion plaque,565,Accompanies singing,"Buck, P. H. (1930). Samoan Material Culture. B. P. Bishop Museum Bulletin, 75.","Buck, 580",,@Buck1930SamoanMaterialCulture,
549,FR URBBAR,,"Refers specifically to ""Ballet de cour orchestra, 24 violins of the king"" by Jean-Baptiste Lully","Ballet de cour orchestra, 24 violins of the king",14 Violins; 6 Bass viols; 4 Violas,1785; 1783; 1785,Jean-Baptiste Lully,"Bukofzer, M. (1947). Music in the Baroque Era. New York: W. W. Norton & Co.",,,@Bukofzer1947MusicInTheBaroqueEra,
560,GER URBBAR,15852,"Refers specifically to ""Saul, Saul, was verfolgst du mich"" by Heinrich Schütz ","Saul, Saul, was verfolgst du mich",2 Violins; 1 Organ (continuo),1754; 1755,Heinrich Schütz,"Bukofzer, M. (1947). Music in the Baroque Era. New York: W. W. Norton & Co.",,,@Bukofzer1947MusicInTheBaroqueEra,
562,GER URBBAR,15852,"Refers specifically to ""Fili mi, Absalon"" by Heinrich Schütz","Fili mi, Absalon",4 Trombones,1747,Heinrich Schütz,"Bukofzer, M. (1947). Music in the Baroque Era. New York: W. W. Norton & Co.",,,@Bukofzer1947MusicInTheBaroqueEra,
480,ZUNI,29371,,Drum Teakwena,1 Bundle drum,1249,,"Bunzel, R. (1932). Introduction to Zuni Ceremonialism. U.S. Bureau of American ethnology. Fourty-seventh annual report. Washington, D.C.: U.S. Government Publishing Office.",,,@Bunzel1932ZuniCeremonialism,
481,ZUNI,29371,,,10 Sleigh bells; 10 Turtle rattles,1248; 1239,,"Bunzel, R. (1932). Introduction to Zuni Ceremonialism. U.S. Bureau of American ethnology. Fourty-seventh annual report. Washington, D.C.: U.S. Government Publishing Office.",,,@Bunzel1932ZuniCeremonialism,
482,ZUNI,29371,,,1 Drum; 3 Rattles,1246; 1243,,"Bunzel, R. (1932). Introduction to Zuni Ceremonialism. U.S. Bureau of American ethnology. Fourty-seventh annual report. Washington, D.C.: U.S. Government Publishing Office.",,,@Bunzel1932ZuniCeremonialism,
617,GEORGIA,"62463, 62464, 15797, 62461, 62462, 15798",,,1 Harp (changi),1357,,"Byhan, A. (1926). The Caucasian Peoples. Illustriete Volkerkunde, 2(2).",,,@Byhan1926CaucasianPeoples,
618,GEORGIA,"62463, 62464, 15797, 62461, 62462, 15798",,,1 Lute (kemancha),1355,,"Byhan, A. (1926). The Caucasian Peoples. Illustriete Volkerkunde, 2(2).",,,@Byhan1926CaucasianPeoples,
622,GEORGIA,"62463, 62464, 15797, 62461, 62462, 15798",,,1 Panpipes (larchemi),1352,Traditional for shepherds,"Byhan, A. (1926). The Caucasian Peoples. Illustriete Volkerkunde, 2(2).",,,@Byhan1926CaucasianPeoples,
269,DOGON,14675,,,2 Flutes (kele); 4 Drums (ganqanq),757; 770,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,
270,DOGON,14675,,,1 Harp-lute (gingiru),756,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,
271,DOGON,14675,,,3 Drums; 3 Drums (koro); 2 Lithophones (dumo inu),761; 760; 763,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,Number of instruments is approximate
272,DOGON,14675,,,"1 Bulllroarer (imina na""",755,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,
273,DOGON,14675,,Funeral orchestra,3 Drums (dumule boy); 2 Drums (boy na); 5 Drums (gomboy); 2 Clappers (qinnu); 2 Drums (ganqanq); 4 Bells (qanqana); 1 Trumpet (ka tolo); 1 Trumpet (ogu buni); 3 Rattles (saguru); 4 Calabash (kosu pele),771; 772; 768; 767; 770; 766; 758; 759; 764; 765,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,
274,DOGON,14675,,,1 Trumpet (ka tolo); 4 Drums (boy dumule); 2 Bels (qanqana),758; 771; 766,,"Calame-Griaule, G. & Calame, B. (1956). [Liner notes]. Scènes de la vie des Dogon. Les Trésors de l'Art Musical Populaire. Paris: Résonances. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1965_011_001/; Di Dio, F. (1958). [Liner notes]. Les Dogon : les chants de la vie, le rituel funéraire. Paris: Radio France Outre Mer. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1958_001_001/",,4A15; 4A45,@LTAMP1956ScenesDeLaVieDesDogon @RFO1958DogonI,Number of instruments is approximate
347,RUANDA,"62544, 11375, 27781",,,1 Zither,955,,"Collaer, P. & Vander Linden, A. (1960). Atlas Historique de la Musique. Brussels: Les Editions et Ateliers d'Art Graphique Elsevier.",,,@CollaerVanderLinden1960AtlasHistoriquedelaMusique,
